1 -64 52
3 -65 52
4 -66 58.5
6 -63 58.5
12 -65 58.5
13 -65 58.5
14 -65 58.5
15 -64 58.5
20 -64 58.5
21 -65 58.5
22 -65 58.5
23 -65 58.5
28 -65 65
29 -64 58.5
30 -65 58.5
31 -65 58.5
36 -64 78
37 -64 58.5
38 -64 58.5
39 -64 58.5
40 -64 58.5
44 -64 58.5
46 -64 58.5
47 -64 58.5
48 -64 58.5
53 -65 58.5
54 -65 58.5
55 -65 58.5
56 -65 58.5
61 -65 58.5
62 -65 58.5
63 -65 58.5
64 -65 58.5
69 -65 58.5
70 -65 58.5
71 -65 58.5
72 -65 58.5
73 -63 52
75 -66 52
77 -65 52
79 -61 1
81 -65 52
83 -65 39
89 -70 58.5
90 -68 58.5
91 -69 58.5
94 -69 58.5
95 -69 58.5
98 -69 58.5
99 -69 58.5
100 -68 58.5
105 -68 65
106 -67 58.5
107 -68 58.5
108 -70 58.5
113 -68 78
114 -69 78
115 -69 78
116 -66 52
119 -69 58.5
120 -69 58.5
125 -69 58.5
126 -69 58.5
127 -69 58.5
128 -69 58.5
129 -69 58.5
132 -70 58.5
133 -69 58.5
134 -69 58.5
139 -69 65
140 -69 58.5
143 -69 58.5
144 -68 58.5
145 -68 58.5
148 -69 58.5
149 -69 58.5
150 -69 58.5
151 -67 52
153 -67 52
155 -67 52
161 -67 52
162 -67 52
163 -67 52
164 -67 52
169 -67 52
170 -67 52
171 -67 52
172 -67 52
177 -68 58.5
178 -67 52
179 -67 52
180 -67 78
185 -66 52
186 -66 52
187 -67 52
188 -67 52
193 -67 52
194 -66 52
195 -66 52
196 -66 52
201 -66 52
202 -66 52
205 -66 52
206 -65 52
209 -66 52
210 -66 52
213 -67 78
214 -68 78
215 -68 78
218 -67 78
219 -67 78
220 -68 78
221 -67 52
223 -67 52
225 -63 52
227 -64 1
228 -65 52
231 -67 52
233 -67 52
235 -66 52
237 -68 52
239 -65 78
245 -65 78
246 -65 78
247 -65 78
248 -65 78
253 -65 78
254 -65 78
255 -65 78
256 -65 78
261 -64 78
262 -64 78
